recommendation_code,section,category,WHO_domain,trigger_summary,recommendation,service_provider,source,apa_reference,source_type,source_link,requires_human_validation,key_program_tag,implementation_note,trigger_tags,priority_weight
FIN_001,Financial / Social Protection,financial,Environment,"Low income, no pension, frailty/sickness/disability, no regular family support",Refer for Social Pension validation through OSCA/MSWDO/NCSC or DSWD process.,"OSCA, MSWDO/CSWDO, DSWD/NCSC",Social Pension Program for Indigent Senior Citizens,Department of Social Welfare and Development. (n.d.). Social Pension (SocPen).,Philippine government social welfare program,https://www.dswd.gov.ph/social-pension/,TRUE,SocPen,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_income,3
FIN_002,Financial / Social Protection,financial,Environment,Senior has no permanent source of income,Assess Social Pension eligibility and document requirements through OSCA/MSWDO.,"OSCA, MSWDO/CSWDO",Social Pension Program for Indigent Senior Citizens,Department of Social Welfare and Development Field Office CAR. (n.d.). Social Pension Program for Indigent Senior Citizens.,Philippine government social welfare program,https://car.dswd.gov.ph/programs-services/protective-services-program/social-pension-program-for-indigent-senior-citizens/,TRUE,SocPen,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,no_pension,3
FIN_003,Financial / Social Protection,financial,Environment,"Senior is frail, sickly, disabled, and unsupported",Prioritize Social Pension screening and social case assessment.,"OSCA, MSWDO/CSWDO, DSWD",Social Pension Program for Indigent Senior Citizens,Department of Social Welfare and Development Field Office CAR. (n.d.). Social Pension Program for Indigent Senior Citizens.,Philippine government social welfare program,https://car.dswd.gov.ph/programs-services/protective-services-program/social-pension-program-for-indigent-senior-citizens/,TRUE,SocPen,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,frailty,3
FIN_004,Financial / Social Protection,financial,Environment,Senior has crisis-related financial need,Refer to DSWD AICS for social-worker assessment of appropriate assistance type.,"DSWD AICS, MSWDO/CSWDO",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,financial_crisis,3
FIN_005,Financial / Social Protection,financial,Environment,Food insecurity or unstable daily subsistence,Refer to AICS food assistance or MSWDO assessment.,"DSWD AICS, MSWDO/CSWDO",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,food_insecurity,3
FIN_006,Financial / Social Protection,financial,Environment,Transportation cost prevents health care access,Refer to AICS transportation assistance assessment if crisis-related.,"DSWD AICS, MSWDO/CSWDO",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,transport_barrier,2
FIN_007,Financial / Social Protection,financial,Environment,Burial-related financial difficulty reported by family,Refer family to AICS burial assistance assessment.,"DSWD AICS, MSWDO/CSWDO",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
FIN_008,Financial / Social Protection,financial,Environment,Basic needs are difficult to meet,"Refer to MSWDO/DSWD AICS for possible food, cash, or other crisis assistance assessment.","MSWDO/CSWDO, DSWD AICS",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_income,2
FIN_009,Financial / Social Protection,benefits,Environment,Senior age is 80,Check eligibility for Expanded Centenarians Act cash gift at age 80.,"NCSC, OSCA, LGU/MSWDO",Expanded Centenarians Act,Republic Act No. 11982. (2024). Expanded Centenarians Act.,Philippine law,https://lawphil.net/statutes/repacts/ra2024/ra_11982_2024.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,age_80,2
FIN_010,Financial / Social Protection,benefits,Environment,Senior age is 85,Check eligibility for Expanded Centenarians Act cash gift at age 85.,"NCSC, OSCA, LGU/MSWDO",Expanded Centenarians Act,Republic Act No. 11982. (2024). Expanded Centenarians Act.,Philippine law,https://lawphil.net/statutes/repacts/ra2024/ra_11982_2024.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,age_85,2
FIN_011,Financial / Social Protection,benefits,Environment,Senior age is 90,Check eligibility for Expanded Centenarians Act cash gift at age 90.,"NCSC, OSCA, LGU/MSWDO",Expanded Centenarians Act,Republic Act No. 11982. (2024). Expanded Centenarians Act.,Philippine law,https://lawphil.net/statutes/repacts/ra2024/ra_11982_2024.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,age_90,2
FIN_012,Financial / Social Protection,benefits,Environment,Senior age is 95,Check eligibility for Expanded Centenarians Act cash gift at age 95.,"NCSC, OSCA, LGU/MSWDO",Expanded Centenarians Act,Republic Act No. 11982. (2024). Expanded Centenarians Act.,Philippine law,https://lawphil.net/statutes/repacts/ra2024/ra_11982_2024.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,age_95,2
FIN_013,Financial / Social Protection,benefits,Environment,Senior age is 100 or above,Check eligibility for centenarian cash gift and felicitation under the Expanded Centenarians Act.,"NCSC, OSCA, LGU/MSWDO",NCSC Expanded Centenarians Act,National Commission of Senior Citizens. (n.d.). Expanded Centenarians Act.,Philippine government benefit implementation information,https://www.ncsc.gov.ph/expandedcentenariansact,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,age_100,3
FIN_014,Financial / Social Protection,financial,Environment,Difficulty buying food and basic necessities,"Remind senior of special discount for basic necessities and prime commodities, subject to current rules and limits.","DTI, DA, OSCA, participating stores",Special discounts on basic necessities and prime commodities,Department of Trade and Industry & Department of Agriculture. (2010). Joint Administrative Order No. 10-02: Grant of Special Discounts to Senior Citizens on the Purchase of Basic Necessities and Prime Commodities.,Philippine joint administrative order,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/10/57884,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,food_insecurity,2
FIN_015,Financial / Social Protection,financial,Environment,Senior or PWD needs basic necessities discount verification,Use revised special discount rules for senior citizens and PWDs on basic necessities and prime commodities.,"DTI, DA, DOE, OSCA, NCDA",Revised special discount rules for basic necessities and prime commodities,"Department of Trade and Industry, Department of Agriculture, & Department of Energy. (2024). Joint Administrative Order No. 24-02: Revised Rules on Granting Special Discounts to Senior Citizens and Persons with Disability on Purchase of Basic Necessities and Prime Commodities.",Philippine joint administrative order,https://ncda.gov.ph/2024-revised-rules-on-granting-special-discounts-to-senior-citizens-and-persons-with-disability-on-purchase-of-basic-necessities-and-prime-commodities-joint-administrative-order-no-24-02-series-of-2/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,has_disability,1
FIN_016,Financial / Social Protection,financial,Environment,Medicine and medical device discount issue,Refer to OSCA/FDA/DOH guidance on senior medicine/device discount requirements.,"OSCA, FDA/DOH-regulated establishments",FDA removal of purchase booklet requirement for senior medicine/device discount,Food and Drug Administration. (2025). FDA Circular No. 2025-005: Delisting of purchase booklet from the checklist of requirements to avail of the 20% senior citizen discount on medicines and medical devices.,Philippine regulatory circular,https://www.fda.gov.ph/fda-circular-no-2025-005-delisting-of-purchase-booklet-from-the-checklist-of-requirements-to-avail-of-the-20-senior-citizen-discount-on-the-purchase-of-medicines-and-medical-devices-in-accordance-w/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,1
FIN_017,Financial / Social Protection,financial,Environment,Senior has unpaid utilities or home repair needs after calamity,Refer to LGU/MSWDO for calamity-related assistance or local aid assessment if applicable.,"LGU, MSWDO/CSWDO, OSCA",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
FIN_018,Financial / Social Protection,financial,Environment,Low-income senior with multiple dependent household needs,Refer to MSWDO for social case assessment and appropriate assistance mapping.,"MSWDO/CSWDO, OSCA",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_income,2
FIN_019,Financial / Social Protection,financial,Environment,Senior is on Social Pension waitlist or unsure of status,Verify SocPen status and ensure OSCA/MSWDO records are updated; do not present SocPen as automatically approved.,"OSCA, MSWDO/CSWDO, DSWD/NCSC",Social Pension Program for Indigent Senior Citizens,Department of Social Welfare and Development. (n.d.). Social Pension (SocPen).,Philippine government social welfare program,https://www.dswd.gov.ph/social-pension/,TRUE,SocPen,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,no_pension,2
FIN_020,Financial / Social Protection,financial,Environment,Recommendation engine suggests 4Ps for senior-only concern,"Use Social Pension, AICS, SLP, or MSWDO assessment instead of default 4Ps referral for senior-citizen-specific needs.","OSCA, MSWDO/CSWDO, DSWD",Social Pension Program for Indigent Senior Citizens,Department of Social Welfare and Development. (n.d.). Social Pension (SocPen).,Philippine government social welfare program,https://www.dswd.gov.ph/social-pension/,TRUE,SocPen,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
FUNC_001,Functional Ability / Home Care,functional,Functional Ability,"Frailty, bedridden status, or difficulty with daily living activities",Refer for Home Care Support Services for Senior Citizens assessment where available.,"DSWD, LGU, MSWDO/CSWDO, home care volunteers",Home Care Support Services for Senior Citizens Manual,Department of Social Welfare and Development Social Technology Bureau. (2021). Home Care Support Services for Senior Citizens (HCSSSC) manual.,Philippine home care support program,https://kmportal.dswd.gov.ph/knowledge-products/how-guide/home-care-support-services-senior-citizens-hcsssc-manual,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,frailty,4
FUNC_002,Functional Ability / Home Care,functional,Functional Ability,Family caregiver needs guidance,Provide caregiver training or orientation referral under HCSSSC/home care support pathway where available.,"DSWD, MSWDO/CSWDO, caregiver, family",Home Care Support Services for Senior Citizens Manual,Department of Social Welfare and Development Social Technology Bureau. (2021). Home Care Support Services for Senior Citizens (HCSSSC) manual.,Philippine home care support program,https://kmportal.dswd.gov.ph/knowledge-products/how-guide/home-care-support-services-senior-citizens-hcsssc-manual,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,caregiver_needed,2
FUNC_003,Functional Ability / Home Care,functional,Functional Ability,"Senior is sick, frail, or bedridden but stays at home","Coordinate community-based home care support through family, kinship carers, home care volunteers, or MSWDO.","MSWDO/CSWDO, family, home care volunteers",Guidelines on the Home Care Support Services for Senior Citizens,Department of Social Welfare and Development. (2010). Guidelines on the Home Care Support Services for Senior Citizens.,Philippine administrative guidelines,https://old.dswd.gov.ph/issuances/AOs/AO_2010-004.pdf,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,frailty,3
FUNC_004,Functional Ability / Home Care,functional,Functional Ability,"Difficulty bathing, dressing, toileting, eating, or moving indoors",Assess activities of daily living and create family/caregiver support plan for OSCA/MSWDO validation.,"MSWDO/CSWDO, OSCA, family caregiver",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,adl_difficulty,4
FUNC_005,Functional Ability / Home Care,functional,Functional Ability,Mobility limitation and living alone,Prioritize barangay/BHW welfare check and home-safety review.,"Barangay, BHW, OSCA, MSWDO",Barangay Health Workers' Benefits and Incentives Act,Republic Act No. 7883. (1995). Barangay Health Workers' Benefits and Incentives Act of 1995.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/2888,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,mobility_alone,3
FUNC_006,Functional Ability / Home Care,functional,Functional Ability,Age 80+ with functional difficulty,Recommend home-based functional review by BHW/RHU/MSWDO where available.,"BHW, RHU/BHC, MSWDO",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,frail_80plus,3
FUNC_007,Functional Ability / Home Care,functional,Functional Ability,Low independence or low autonomy score,Coordinate caregiver or family support review and social case assessment if needed.,"Family caregiver, MSWDO/CSWDO, OSCA",WHO Decade of Healthy Ageing baseline report,World Health Organization. (2021). Decade of healthy ageing: Baseline report.,International public health framework,https://www.who.int/publications/i/item/9789240017900,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_independence,2
FUNC_008,Functional Ability / Home Care,functional,Functional Ability,High functional risk and poor household support,Refer to MSWDO/CSWDO for case assessment and community support planning.,"MSWDO/CSWDO, Barangay, OSCA",Home Care Support Services for Senior Citizens Manual,Department of Social Welfare and Development Social Technology Bureau. (2021). Home Care Support Services for Senior Citizens (HCSSSC) manual.,Philippine home care support program,https://kmportal.dswd.gov.ph/knowledge-products/how-guide/home-care-support-services-senior-citizens-hcsssc-manual,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dependency_high,3
FUNC_009,Functional Ability / Home Care,functional,Functional Ability,Senior cannot safely leave home for services,Request BHW/RHU follow-up or mobile/outreach service coordination if available.,"BHW, RHU/BHC, Barangay",Barangay Health Workers' Benefits and Incentives Act,Republic Act No. 7883. (1995). Barangay Health Workers' Benefits and Incentives Act of 1995.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/2888,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,mobility_limited_outside,2
FUNC_010,Functional Ability / Home Care,functional,Functional Ability,Frail senior with no capable caregiver,"Refer to MSWDO for assessment of home care, community support, or possible residential care pathway if necessary.","MSWDO/CSWDO, DSWD, LGU",DSWD residential care for older persons,Department of Social Welfare and Development. (n.d.). For older persons.,Philippine residential care service,https://old.dswd.gov.ph/sectors/children-and-youth/programs-2/residential-care/for-older-persons/,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,caregiver_needed,3
FUNC_011,Functional Ability / Home Care,household_safety,Environment,Unsafe home condition or fall hazards,"Request household safety review for lighting, pathways, bathroom safety, and tripping hazards.","BHW, Barangay, MSWDO, family",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,unsafe_home,3
FUNC_012,Functional Ability / Home Care,household_safety,Environment,Mobility difficulty plus unsafe household,Coordinate family/barangay action to improve safe movement paths inside the home.,"Family, Barangay, BHW",WHO Decade of Healthy Ageing baseline report,World Health Organization. (2021). Decade of healthy ageing: Baseline report.,International public health framework,https://www.who.int/publications/i/item/9789240017900,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,unsafe_home,3
FUNC_013,Functional Ability / Home Care,household_safety,Environment,Disaster-prone area or evacuation difficulty,Include senior in barangay vulnerable-sector monitoring and evacuation assistance planning.,"Barangay, MDRRMO, OSCA, MSWDO",WHO Decade of Healthy Ageing baseline report,World Health Organization. (2021). Decade of healthy ageing: Baseline report.,International public health framework,https://www.who.int/publications/i/item/9789240017900,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
FUNC_014,Functional Ability / Home Care,functional,Functional Ability,"Senior is abandoned, neglected, homeless, or unattached",Refer to MSWDO/DSWD for residential care or protective placement assessment if community care is insufficient.,"MSWDO/CSWDO, DSWD residential care facility",DSWD residential care for older persons,Department of Social Welfare and Development. (n.d.). For older persons.,Philippine residential care service,https://old.dswd.gov.ph/sectors/children-and-youth/programs-2/residential-care/for-older-persons/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,abandoned,5
FUNC_015,Functional Ability / Home Care,functional,Functional Ability,"Abandoned, neglected, unattached, or homeless senior needs temporary care","Refer to appropriate DSWD residential care facility such as GRACES or regional equivalent, subject to assessment.","DSWD residential care, MSWDO/CSWDO",Golden Reception and Action Center for the Elderly and Other Special Cases,Department of Social Welfare and Development Field Office NCR. (2020). GRACES Manual of Operations.,Philippine residential care facility,https://ncr.dswd.gov.ph/wp-content/uploads/2020/02/GRACES_MOO.pdf,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,abandoned,4
FUNC_016,Functional Ability / Home Care,functional,Functional Ability,Functional risk but senior wants to remain at home,"Prioritize home-based support, caregiver orientation, and barangay/BHW check-ins before institutional referral where appropriate.","MSWDO/CSWDO, BHW, family caregiver",Guidelines on the Home Care Support Services for Senior Citizens,Department of Social Welfare and Development. (2010). Guidelines on the Home Care Support Services for Senior Citizens.,Philippine administrative guidelines,https://old.dswd.gov.ph/issuances/AOs/AO_2010-004.pdf,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,frailty,2
FUNC_017,Functional Ability / Home Care,functional,Functional Ability,Poor mobility outside the home,Coordinate safe transport support or assisted visit scheduling for RHU/OSCA services.,"Barangay, OSCA, RHU/BHC",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,mobility_limited_outside,2
FUNC_018,Functional Ability / Home Care,functional,Functional Ability,Functional limitation with chronic disease,Schedule coordinated home-care and primary-care follow-up rather than separate unlinked recommendations.,"MSWDO, BHW, RHU/BHC",Home Care Support Services for Senior Citizens Manual,Department of Social Welfare and Development Social Technology Bureau. (2021). Home Care Support Services for Senior Citizens (HCSSSC) manual.,Philippine home care support program,https://kmportal.dswd.gov.ph/knowledge-products/how-guide/home-care-support-services-senior-citizens-hcsssc-manual,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,func_chronic,3
FUNC_019,Functional Ability / Home Care,functional,Functional Ability,Caregiver burden or family difficulty supporting frail senior,Refer family for caregiver capacity-building or MSWDO guidance under home care support pathways.,"Family caregiver, MSWDO/CSWDO, DSWD",Home Care Support Services for Senior Citizens Manual,Department of Social Welfare and Development Social Technology Bureau. (2021). Home Care Support Services for Senior Citizens (HCSSSC) manual.,Philippine home care support program,https://kmportal.dswd.gov.ph/knowledge-products/how-guide/home-care-support-services-senior-citizens-hcsssc-manual,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,caregiver_needed,2
FUNC_020,Functional Ability / Home Care,functional,Functional Ability,Frail senior has no assistive routine or daily care plan,"Create a simple daily support plan for validation by family, BHW, and MSWDO.","Family, BHW, MSWDO/CSWDO",Guidelines on the Home Care Support Services for Senior Citizens,Department of Social Welfare and Development. (2010). Guidelines on the Home Care Support Services for Senior Citizens.,Philippine administrative guidelines,https://old.dswd.gov.ph/issuances/AOs/AO_2010-004.pdf,TRUE,HCSSSC,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,frailty,2
ASSIST_001,Assistive Devices / Disability Support,assistive_device,Functional Ability,"Mobility limitation, cane/walker/wheelchair need","Assess need for cane, walker, wheelchair, crutches, or other mobility assistive device.","RHU/BHC, MSWDO/CSWDO, OSCA",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,mobility_limited_outside,3
ASSIST_002,Assistive Devices / Disability Support,assistive_device,Functional Ability,Vision concern or eyeglasses need,Assess need for eyeglasses and verify applicable senior citizen discount or assistance pathway.,"RHU/BHC, eye care provider, OSCA",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,vision_concern,3
ASSIST_003,Assistive Devices / Disability Support,assistive_device,Functional Ability,Hearing concern or hearing-aid need,Assess need for hearing aid and possible assistance or discount pathway.,"RHU/BHC, hearing care provider, OSCA/MSWDO",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,hearing_concern,3
ASSIST_004,Assistive Devices / Disability Support,assistive_device,Functional Ability,Dental/denture concern affects eating or quality of life,Assess denture or dental support need and verify applicable senior citizen benefit pathway.,"RHU/public dental service, OSCA",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dental_concern,2
ASSIST_005,Assistive Devices / Disability Support,assistive_device,Functional Ability,Severe disability or long-term impairment,Refer to PDAO/MSWDO for PWD assessment if applicable.,"PDAO, MSWDO/CSWDO, OSCA",IRR of Republic Act No. 10754,National Council on Disability Affairs. (n.d.). IRR of Republic Act No. 10754.,Philippine disability law implementing rules,https://ncda.gov.ph/disability-laws/implementing-rules-and-regulations-irr/irr-of-ra-10754-an-act-expanding-the-benefits-and-privileges-of-persons-with-disability-pwd/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,has_disability,3
ASSIST_006,Assistive Devices / Disability Support,assistive_device,Functional Ability,Senior is both senior citizen and PWD,"Verify whether senior or PWD benefit route applies, avoiding double discount claims.","PDAO, OSCA, provider",DOH AO 2017-0008 on PWD health-related discounts,Department of Health. (2017). Administrative Order No. 2017-0008: Implementing Guidelines of Republic Act No. 10754.,Philippine administrative order,https://ncda.gov.ph/disability-laws/administrative-orders/doh-ao-2017-0008-implementing-guidelines-of-republic-act-10754-otherwise-known-as-an-act-expanding-the-benefits-and-privileges-of-persons-with-disability-for/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,has_disability,2
ASSIST_007,Assistive Devices / Disability Support,assistive_device,Functional Ability,Medical/assistive device cost is difficult,Refer to PCSO MAP or AICS assessment for possible medical device support.,"PCSO, DSWD AICS, MSWDO",PCSO Medical Assistance Program,Philippine Charity Sweepstakes Office. (n.d.). Medical Assistance Program.,Philippine government medical assistance program,https://www.pcso.gov.ph/ProgramsAndServices/CAD/MedicalAccessProgram.aspx,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,assistive_device_need,1
ASSIST_008,Assistive Devices / Disability Support,assistive_device,Functional Ability,Assistive device needed for safe movement at home,Link assistive-device assessment with household safety review and caregiver guidance.,"RHU/BHC, BHW, MSWDO",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,assistive_device_need,2
ASSIST_009,Assistive Devices / Disability Support,assistive_device,Functional Ability,Older senior with fall risk and mobility limitation,Prioritize mobility aid assessment and home-safety review.,"RHU/BHC, BHW, MSWDO",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,fall_risk,2
ASSIST_010,Assistive Devices / Disability Support,assistive_device,Functional Ability,Functional limitation affects social participation,Assess assistive device or transport support to enable safe participation in community activities.,"RHU/BHC, OSCA, Barangay",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,mobility_limited_outside,1
SOC_001,Social Participation / Community Support,social,Environment,Lives alone,Assign OSCA/barangay/BHW welfare check-ins for periodic monitoring.,"OSCA, Barangay, BHW, MSWDO",Barangay Health Workers' Benefits and Incentives Act,Republic Act No. 7883. (1995). Barangay Health Workers' Benefits and Incentives Act of 1995.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/2888,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,lives_alone,2
SOC_002,Social Participation / Community Support,social,Environment,Low family support,Refer to MSWDO/OSCA for welfare assessment and support planning.,"MSWDO/CSWDO, OSCA",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_family_support,2
SOC_003,Social Participation / Community Support,social,Environment,Low social support or isolation,"Encourage participation in OSCA, Senior Citizen Association, barangay, faith-based, or community activities based on preference.","OSCA, Senior Citizen Association, Barangay",WHO Healthy Ageing and functional ability,World Health Organization. (2020). Healthy ageing and functional ability.,International public health framework,https://www.who.int/news-room/questions-and-answers/item/healthy-ageing-and-functional-ability,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_social_support,2
SOC_004,Social Participation / Community Support,social,Environment,Not a senior citizen association member,Offer referral to local senior citizen association activities if the senior is interested.,"OSCA, Senior Citizen Association",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,not_association_member,1
SOC_005,Social Participation / Community Support,social,Environment,Low community participation,"Include senior in community announcements, health missions, and senior-focused activities.","OSCA, Barangay, Senior Citizen Association",Senior Citizens Act / OSCA,Republic Act No. 7432. (1992). Senior Citizens Act.,Philippine law,https://www.dilg.gov.ph/PDF_File/issuances/republic_acts/RA_7432.PDF,TRUE,OSCA,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,low_participation,2
